"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"845",1,2,2,1,1,15
"846",2,5,NA,7,7,16
"847",2,3,4,2,2,0
"848",1,5,4,3,3,0
"849",1,6,3,4,4,0
"850",2,NA,3,1,1,15
"851",1,NA,2,1,NA,8
"852",1,4,2,1,NA,7
"853",1,3,3,2,2,0
"854",2,2,5,3,3,15
"855",2,2,2,5,5,17
"856",1,3,4,2,2,15
"857",1,4,3,4,4,14
"858",1,2,1,1,1,22
"859",1,4,4,1,1,27
"860",1,2,3,1,1,8
"861",2,4,3,3,3,15
"862",1,5,4,7,7,0
"863",1,5,4,7,7,0
"864",1,4,5,1,1,18
"865",1,NA,2,1,1,11
"866",1,4,3,2,2,11
"867",2,2,4,NA,NA,8
"868",2,2,1,NA,NA,20
"869",NA,3,3,NA,NA,0
"870",1,4,2,1,1,21
"871",1,5,2,7,7,14
"872",1,3,2,2,2,8
"873",1,3,4,1,1,21
"874",1,4,4,7,7,16
"875",1,2,4,7,7,8
"876",2,3,4,5,NA,16
"877",2,NA,3,4,4,2
"878",1,3,4,4,3,8
"879",2,NA,5,7,7,10
"880",2,3,4,4,NA,0
"881",1,3,4,4,NA,0
"882",2,3,5,3,NA,10
"883",NA,2,3,4,NA,23
"884",2,3,4,2,2,6
"885",NA,NA,5,NA,NA,32
"886",2,2,3,3,3,16
